name,,count
United States of America,46877,162665650
United States of America,25237.5,162665650
United States of America,10955,162665650
United States of America,213139.5,162665650
United States of America,18575,162665650
United States of America,60290.5,162665650
United States of America,244754,162665650
United States of America,74878.5,162665650
United States of America,8003,162665650
United States of America,24562,162665650
United States of America,24709.5,162665650
United States of America,6221.5,162665650
United States of America,20172,162665650
United States of America,5686.5,162665650
United States of America,85795.5,162665650
United States of America,113525,162665650
United States of America,38995.5,162665650
United States of America,24843,162665650
United States of America,29160,162665650
United States of America,12339.5,162665650
United States of America,10843.5,162665650
United States of America,14495,162665650
United States of America,20313.5,162665650
United States of America,14973,162665650
United States of America,24854,162665650
United States of America,3083.5,162665650
United States of America,48196,162665650
United States of America,76674.5,162665650
United States of America,41643,162665650
United States of America,30691,162665650
United States of America,39683,162665650
United States of America,114573.5,162665650
United States of America,24560.5,162665650
United States of America,54972,162665650
United States of America,34444.5,162665650
United States of America,120464,162665650
United States of America,38465.5,162665650
United States of America,35803.5,162665650
United States of America,87297.5,162665650
United States of America,38696,162665650
United States of America,107455.5,162665650
United States of America,17487,162665650
United States of America,10715.5,162665650
United States of America,5152.5,162665650
United States of America,11748,162665650
United States of America,7434,162665650
United States of America,7991,162665650
United States of America,13551.5,162665650
United States of America,138952.5,162665650
United States of America,98141.5,162665650
United States of America,58432,162665650
United States of America,707883,162665650
United States of America,415074,162665650
United States of America,232290.5,162665650
United States of America,153221.5,162665650
United States of America,35893,162665650
United States of America,61715,162665650
United States of America,100594.5,162665650
United States of America,39265,162665650
United States of America,23388.5,162665650
United States of America,19553,162665650
United States of America,98700.5,162665650
United States of America,117387.5,162665650
United States of America,141902,162665650
United States of America,132984,162665650
United States of America,144589.5,162665650
United States of America,47505.5,162665650
United States of America,44214,162665650
United States of America,95470,162665650
United States of America,1103781.5,162665650
United States of America,2134,162665650
United States of America,51650.5,162665650
United States of America,53420,162665650
United States of America,82280,162665650
United States of America,78017.5,162665650
United States of America,104932.5,162665650
United States of America,202225,162665650
United States of America,12159,162665650
United States of America,19258.5,162665650
United States of America,76646,162665650
United States of America,53498.5,162665650
United States of America,33928,162665650
United States of America,36539.5,162665650
United States of America,20490.5,162665650
United States of America,43977.5,162665650
United States of America,203256.5,162665650
United States of America,27012,162665650
United States of America,43475.5,162665650
United States of America,36716.5,162665650
United States of America,21941,162665650
United States of America,77165,162665650
United States of America,74967.5,162665650
United States of America,57386,162665650
United States of America,43419.5,162665650
United States of America,91792.5,162665650
United States of America,99842.5,162665650
United States of America,48115.5,162665650
United States of America,144539,162665650
United States of America,273949.5,162665650
United States of America,28473,162665650
United States of America,92409.5,162665650
United States of America,85781.5,162665650
United States of America,75388,162665650
United States of America,53674,162665650
United States of America,335737,162665650
United States of America,264793,162665650
United States of America,313064.5,162665650
United States of America,61349,162665650
United States of America,33812,162665650
United States of America,61151.5,162665650
United States of America,72651.5,162665650
United States of America,42922.5,162665650
United States of America,81661,162665650
United States of America,184040.5,162665650
United States of America,64898,162665650
United States of America,105775,162665650
United States of America,237491.5,162665650
United States of America,2109.5,162665650
United States of America,451155,162665650
United States of America,54135,162665650
United States of America,30471.5,162665650
United States of America,100237,162665650
United States of America,122115,162665650
United States of America,62638,162665650
United States of America,127273,162665650
United States of America,76848,162665650
United States of America,144669.5,162665650
United States of America,43176,162665650
United States of America,39418,162665650
United States of America,31276.5,162665650
United States of America,27474,162665650
United States of America,31980.5,162665650
United States of America,48079.5,162665650
United States of America,67857.5,162665650
United States of America,9633,162665650
United States of America,105458.5,162665650
United States of America,19170,162665650
United States of America,40940,162665650
United States of America,43882.5,162665650
United States of America,66957,162665650
United States of America,27358,162665650
United States of America,116205.5,162665650
United States of America,20831.5,162665650
United States of America,58563.5,162665650
United States of America,280123,162665650
United States of America,104767.5,162665650
United States of America,92687.5,162665650
United States of America,81870,162665650
United States of America,30938,162665650
United States of America,117567,162665650
United States of America,37916.5,162665650
United States of America,46201,162665650
United States of America,128798.5,162665650
United States of America,45821.5,162665650
United States of America,114701,162665650
United States of America,64880.5,162665650
United States of America,138991.5,162665650
United States of America,99824.5,162665650
United States of America,4483.5,162665650
United States of America,46689,162665650
United States of America,9466,162665650
United States of America,189893,162665650
United States of America,128759.5,162665650
United States of America,70644.5,162665650
United States of America,206235,162665650
United States of America,361934.5,162665650
United States of America,67994,162665650
United States of America,12177.5,162665650
United States of America,28807,162665650
United States of America,9424,162665650
United States of America,14970,162665650
United States of America,23711,162665650
United States of America,10322.5,162665650
United States of America,1658.5,162665650
United States of America,254,162665650
United States of America,361,162665650
United States of America,61,162665650
United States of America,18,162665650
United States of America,96,162665650
United States of America,35,162665650
United States of America,374,162665650
United States of America,160,162665650
United States of America,68,162665650
United States of America,118,162665650
United States of America,292,162665650
United States of America,250,162665650
United States of America,501,162665650
United States of America,1002,162665650
United States of America,741,162665650
United States of America,254,162665650
United States of America,138,162665650
United States of America,78,162665650
United States of America,258,162665650
United States of America,99,162665650
United States of America,2873.5,162665650
United States of America,8521,162665650
United States of America,100,162665650
United States of America,1063,162665650
United States of America,109,162665650
United States of America,5021.5,162665650
United States of America,136,162665650
United States of America,14,162665650
United States of America,9870,162665650
United States of America,31478,162665650
United States of America,53496,162665650
United States of America,57327,162665650
United States of America,460273,162665650
United States of America,88402.5,162665650
United States of America,47587,162665650
United States of America,1249195.5,162665650
United States of America,75076,162665650
United States of America,3911,162665650
United States of America,53767,162665650
United States of America,25240,162665650
United States of America,33710.5,162665650
United States of America,89081.5,162665650
United States of America,31090.5,162665650
United States of America,79988,162665650
United States of America,231238,162665650
United States of America,25587.5,162665650
United States of America,227555,162665650
United States of America,378543.5,162665650
United States of America,45511,162665650
United States of America,67760,162665650
United States of America,135205.5,162665650
United States of America,62516,162665650
United States of America,43762,162665650
United States of America,63126.5,162665650
United States of America,98655,162665650
United States of America,97429,162665650
United States of America,143157,162665650
United States of America,212343.5,162665650
United States of America,518509.5,162665650
United States of America,663726.5,162665650
United States of America,670142,162665650
United States of America,221870,162665650
United States of America,145319.5,162665650
United States of America,523314.5,162665650
United States of America,43857,162665650
United States of America,125345,162665650
United States of America,32214.5,162665650
United States of America,310328,162665650
United States of America,466067,162665650
United States of America,877475.5,162665650
United States of America,276036,162665650
United States of America,149811.5,162665650
United States of America,225713,162665650
United States of America,198821.5,162665650
United States of America,681,162665650
United States of America,9848,162665650
United States of America,2900,162665650
United States of America,82026.5,162665650
United States of America,14063.5,162665650
United States of America,10266.5,162665650
United States of America,25040,162665650
United States of America,65787,162665650
United States of America,40096.5,162665650
United States of America,93846,162665650
United States of America,45892,162665650
United States of America,23438.5,162665650
United States of America,367259,162665650
United States of America,953044,162665650
United States of America,225799,162665650
United States of America,83226.5,162665650
United States of America,77297.5,162665650
United States of America,152737.5,162665650
United States of America,11997,162665650
United States of America,195183,162665650
United States of America,23685,162665650
United States of America,70598.5,162665650
United States of America,8976.5,162665650
United States of America,149338.5,162665650
United States of America,180691,162665650
United States of America,244146,162665650
United States of America,60876,162665650
United States of America,108008,162665650
United States of America,174707,162665650
United States of America,101561.5,162665650
United States of America,42646.5,162665650
United States of America,185474.5,162665650
United States of America,27011.5,162665650
United States of America,675521.5,162665650
United States of America,321223.5,162665650
United States of America,140775.5,162665650
United States of America,158390.5,162665650
United States of America,120810.5,162665650
United States of America,31785.5,162665650
United States of America,152895.5,162665650
United States of America,24669.5,162665650
United States of America,37333.5,162665650
United States of America,254295,162665650
United States of America,142622,162665650
United States of America,144788,162665650
United States of America,595819.5,162665650
United States of America,244972,162665650
United States of America,943574.5,162665650
United States of America,194765,162665650
United States of America,168410,162665650
United States of America,388449,162665650
United States of America,1003418,162665650
United States of America,206571.5,162665650
United States of America,61314,162665650
United States of America,84581,162665650
United States of America,56100.5,162665650
United States of America,484286,162665650
United States of America,45544.5,162665650
United States of America,289210,162665650
United States of America,40843,162665650
United States of America,99504,162665650
United States of America,89457.5,162665650
United States of America,8121,162665650
United States of America,1938.5,162665650
United States of America,236,162665650
United States of America,24,162665650
United States of America,623,162665650
United States of America,174,162665650
United States of America,485,162665650
United States of America,101,162665650
United States of America,955,162665650
United States of America,1622.5,162665650
United States of America,6580.5,162665650
United States of America,833,162665650
United States of America,101530.5,162665650
United States of America,973690.5,162665650
United States of America,578545,162665650
United States of America,483177,162665650
United States of America,10832,162665650
United States of America,509961,162665650
United States of America,102151.5,162665650
United States of America,61316.5,162665650
United States of America,68010,162665650
United States of America,37162,162665650
United States of America,127472.5,162665650
United States of America,47720.5,162665650
United States of America,100950,162665650
United States of America,272483.5,162665650
United States of America,343796.5,162665650
United States of America,60779.5,162665650
United States of America,670953.5,162665650
United States of America,135021,162665650
United States of America,540768,162665650
United States of America,34012,162665650
United States of America,427272,162665650
United States of America,265363.5,162665650
United States of America,17537,162665650
United States of America,725723,162665650
United States of America,187966,162665650
United States of America,56149,162665650
United States of America,126830.5,162665650
United States of America,955272.5,162665650
United States of America,669434,162665650
United States of America,148030,162665650
United States of America,224099,162665650
United States of America,322710.5,162665650
United States of America,1090830,162665650
United States of America,249977.5,162665650
United States of America,919684,162665650
United States of America,178526,162665650
United States of America,658331,162665650
United States of America,322768.5,162665650
United States of America,66204,162665650
United States of America,194491.5,162665650
United States of America,187402.5,162665650
United States of America,778985,162665650
United States of America,904953.5,162665650
United States of America,155848.5,162665650
United States of America,257185.5,162665650
United States of America,1104641.5,162665650
United States of America,126992,162665650
United States of America,417137,162665650
United States of America,551443,162665650
United States of America,87113,162665650
United States of America,1432946,162665650
United States of America,403873.5,162665650
United States of America,21301,162665650
United States of America,50173.5,162665650
United States of America,8110,162665650
United States of America,33032.5,162665650
United States of America,60288.5,162665650
United States of America,242029,162665650
United States of America,1281471.5,162665650
United States of America,1035949,162665650
United States of America,1150717,162665650
United States of America,80943,162665650
United States of America,1207756.5,162665650
United States of America,572013,162665650
United States of America,64185,162665650
United States of America,286917.5,162665650
United States of America,643034,162665650
United States of America,660475,162665650
United States of America,13734.5,162665650
United States of America,1364905,162665650
United States of America,213799,162665650
United States of America,789991.5,162665650
United States of America,1169757,162665650
United States of America,971191,162665650
United States of America,703926,162665650
United States of America,753843.5,162665650
United States of America,645336,162665650
United States of America,983590,162665650
United States of America,647778.5,162665650
United States of America,1535267.5,162665650
United States of America,7804.5,162665650
United States of America,154,162665650
United States of America,5440.5,162665650
United States of America,461,162665650
United States of America,3412,162665650
United States of America,3021,162665650
United States of America,3283,162665650
United States of America,26172,162665650
United States of America,43608.5,162665650
United States of America,2337,162665650
United States of America,1491886.5,162665650
United States of America,578828.5,162665650
United States of America,1821684.5,162665650
United States of America,2436022.5,162665650
United States of America,1938570.5,162665650
United States of America,1259958,162665650
United States of America,527428.5,162665650
United States of America,3004852,162665650
United States of America,2528070.5,162665650
United States of America,1319232.5,162665650
United States of America,3504775,162665650
